 1029600     501.3007    4052.9448    1279.4092    35596.554 
 1034000    506.95087    4052.7091    49.220656    35576.202 
 1038400    494.04086    4089.9052   -2471.4429    35660.525 
 1042800    496.15196    4093.8965    848.79383    35601.686 
 1047200      506.278    4120.4165    1152.1852    35569.704 
 1051600    497.71994    4124.8733    812.11595    35527.819 
 1056000    508.68798    4134.6062    1464.8317    35562.553 
 1060400    495.09513    4152.7382     -1064.91    35631.475 
 1064800    498.22803    4145.1746   -715.11813    35574.053 
 1069200    517.22451    4173.5914     -1152.04    35607.783 
 1073600    508.01922     4197.228    -1584.832    35609.661 
 1078000    506.06914    4205.1318   -1111.9331    35567.176 
 1082400    508.51494    4209.3993    2838.4431    35533.938 
 1086800    502.16317    4224.6117   -1345.5315    35600.985 
 1091200    500.72833    4245.9043    -1263.577    35577.158 
 1095600    508.30706    4258.8794   -1318.3992    35618.561 
 1100000    500.68472    4284.7201    2211.3981    35521.673 
 1104400    499.11354    4324.9176    501.79336    35571.716 
 1108800    506.32665    4352.1946   -1932.8535    35638.429 
 1113200    518.89295    4357.7383   -1005.3673    35640.506 
 1117600     498.1202    4372.6876   -1121.6065    35629.587 
 1122000    498.84894     4398.767   -937.27348    35577.923 
 1126400    495.09575    4396.1065    1000.3744     35575.46 
 1130800    506.33904    4427.3142    1768.8094    35542.325 
 1135200    488.76891    4483.5195   -967.85875    35584.286 
 1139600    486.84866    4508.9088    3392.7528    35563.747 
 1144000    505.15112    4548.7741    1955.6918    35567.169 
 1148400    491.61773    4562.3138   -1297.2191    35615.788 
 1152800     493.9719    4575.9868    2302.6177    35608.355 
 1157200     500.6643    4589.3581    2451.4866    35554.225 
 1161600     505.4469    4628.1587     1510.939    35543.284 
 1166000    513.99277    4628.4637    1000.8758    35578.414 
 1170400    502.70039    4658.4623    2533.8979    35552.817 
 1174800    497.51216    4683.8825   -35.008949    35577.063 
 1179200    507.42506    4714.0623   -799.58095    35616.883 
 1183600    506.15138    4752.8004    1393.4284    35531.258 
 1188000    502.06468    4771.5111   -1716.3039    35649.205 
 1192400    509.37005    4783.6792    512.72162    35640.787 
 1196800    502.18634    4812.5729   -1828.6674    35643.541 
 1201200    498.10145    4848.2845   -2191.7836    35652.173 
 1205600     508.1123    4875.6327   -2136.5783    35652.787 
 1210000    503.60521    4901.2074    557.01453    35553.874 
 1214400    509.65526    4915.7262   -1342.8276    35654.078 
 1218800    503.17207    4922.0786   -860.01105    35615.279 
 1223200    501.86244    4943.5515   -1177.5302    35597.297 
 1227600    491.64159    4951.9949    2271.8513     35530.56 
 1232000    501.81274     4963.347    3043.4728    35528.456 
 1236400    494.92842    4973.5681   -1003.4012    35607.164 
 1240800    492.17579    5003.7905   -560.22109    35589.266 
 1245200    508.95509    5028.9772    2641.8531    35561.728 
 1249600    494.86498     5041.902    -1463.553    35607.374 
 1254000    504.55931    5031.5563   -1182.6341    35644.261 
 1258400    506.05934     5046.654    1416.4427    35543.546 
 1262800    491.62543     5068.342   -1375.4447     35603.66 
 1267200    508.01728    5079.2113   -1457.5366    35658.181 
 1271600    503.05514    5103.7409    2768.4716    35538.149 
 1276000    499.93557    5124.3541    1988.0007    35538.173 
 1280400    507.45509    5158.9439   -421.74929    35617.916 
 1284800     508.2201    5178.5256   -3385.9527     35646.31 
 1289200    505.33328    5195.4902    2252.7955    35499.112 
 1293600    491.91222    5235.8405   -2509.9143    35696.304 
 1298000    499.60441    5248.3811    1077.6504    35569.024 
 1302400    496.96673    5278.8704    445.30425    35574.769 
 1306800    505.90683    5297.0014   -988.13953     35648.31 
 1311200    492.14854    5297.6468    498.78444    35582.629 
 1315600    508.85167    5319.9034    307.51429    35587.264 
 1320000    515.28566    5332.1562    3559.9811     35506.69 
 1324400    506.87098    5349.8038     2131.841    35536.631 
